DATE,ACCT,DESC,Category,Amount
05/29/2020,CHASE,Amazon Tips*M76T20DK2,GROCERIES,-$10.00
05/29/2020,CHASE,PAYPAL *RINGTOP LTD,ENTERTAINMENT,-$51.67
05/29/2020,CHASE,TARGET.COM *,TARGET,-$9.29
05/29/2020,CHASE,TARGET.COM *,TARGET,-$48.91
05/30/2020,CHASE,THE BIG GREEK CAFE- SILVE,RESTAURANT,-$41.85
06/01/2020,CHASE,Amazon.com*MY9TK44Y0,AMAZON,-$5.80
06/02/2020,CHASE,Amazon.com*MY1W91CP2,AMAZON,-$16.58
06/03/2020,CHASE,AMZN Mktp US*MY1SL6J20,AMAZON,-$9.05
06/03/2020,CHASE,Amazon.com*MY4S38JM0,AMAZON,-$15.43
06/03/2020,CHASE,Amazon.com*MY4774402,GROCERIES,-$13.34
06/03/2020,CHASE,Amazon.com*MY6KL8JA0,GROCERIES,-$15.20
06/03/2020,CHASE,Amazon.com*MY2CB0FW2,AMAZON,-$3.09
06/03/2020,CHASE,AMZN Mktp US*MY1GL5F12,AMAZON,-$25.53
06/03/2020,CHASE,Amazon.com*MY5356PM1,AMAZON,-$6.75
06/03/2020,CHASE,Amazon.com*MY5VD1PG1,AMAZON,-$11.69
06/03/2020,CHASE,Amazon.com*MY3SX1J50,AMAZON,-$3.74
06/03/2020,CHASE,Amazon.com*MY0SS2JQ0,AMAZON,-$3.45
06/03/2020,CHASE,Amazon.com*MY6CH2F12,AMAZON,-$8.08
06/04/2020,CHASE,TARGET.COM *,TARGET,-$4.99
06/04/2020,CHASE,TARGET.COM *,TARGET,-$7.00
06/04/2020,CHASE,TARGET.COM *,TARGET,-$53.90
06/05/2020,CHASE,Amazon.com*MY3W35PQ0,GROCERIES,-$30.50
06/05/2020,CHASE,Amazon.com*MY36P0P20,GROCERIES,-$23.97
06/05/2020,CHASE,Amazon.com*MY06P9P20,AMAZON,-$25.49
06/05/2020,CHASE,AMZN Mktp US*MY7WA8PW0,AMAZON,-$5.28
06/05/2020,CHASE,TARGET.COM *,TARGET,-$7.98
06/06/2020,CHASE,Amazon.com,AMAZON,$16.58
06/06/2020,CHASE,AMZN Mktp US*MY3F39GU0,AMAZON,-$62.38
06/07/2020,CHASE,AMZN Mktp US*MY3BU2ML0,PAULA,-$30.74
06/07/2020,CHASE,Amazon.com*MY7BU4ML0,GROCERIES,-$14.08
06/07/2020,CHASE,AMZN Mktp US*MY9YW5E52,PAULA,-$26.49
06/07/2020,CHASE,AMZN Mktp US*MY92Z7M70,PAULA,-$135.02
06/08/2020,CHASE,AMZN Mktp US*MY3CC8SV1,AMAZON,-$48.35
06/08/2020,CHASE,Amazon.com*MY9UF71V2,AMAZON,-$100.00
06/09/2020,CHASE,WALMART.COM,PAPER TOWELS,-$69.64
06/09/2020,CHASE,Amazon.com*MY2ZR99I1,AMAZON,-$30.42
06/12/2020,CHASE,AMZN Mktp US*MY9TW8602,MORTGAGE_CREDIT,-$22.24
06/13/2020,CHASE,Amazon.com*MY1OI7KD2,AMAZON,-$15.73
06/14/2020,CHASE,AMZN Mktp US*MY8NI6YQ0,GROCERIES,-$199.45
06/15/2020,CHASE,Amazon.com*MY3OX9WZ2,AMAZON,-$10.59
06/16/2020,CHASE,Amazon.com,AMAZON,$30.42
06/16/2020,CHASE,Amazon Tips*MS4VU0JJ1,GROCERIES,-$5.00
06/16/2020,CHASE,AMZN Mktp US*MS8C25361,AMAZON,-$52.35
06/16/2020,CHASE,AMZN Mktp US*MS32183B1,AMAZON,-$139.37
06/17/2020,CHASE,AMZN Mktp US*MS47R7EJ1,AMAZON,-$18.01
06/17/2020,CHASE,AMZN Mktp US*MS5IV6JX0,AMAZON,-$26.99
06/17/2020,CHASE,Amazon.com*MS8AO64X2,AMAZON,-$65.71
06/17/2020,CHASE,Amazon.com*MS32I03X0,AMAZON,-$81.05
06/18/2020,CHASE,MCDONALD'S M4539 OF MD,RESTAURANT,-$10.68
06/20/2020,CHASE,Amazon.com*MS67I0TQ2,AMAZON,-$8.47
06/22/2020,CHASE,AMZN Mktp US*MS6V138O1,MORTGAGE_CREDIT,-$206.46
06/22/2020,CHASE,AMZN Mktp US*MS1ML91J2,AMAZON,-$11.87
06/25/2020,CHASE,AMZN Mktp US*MS6L338Q2,AMAZON,-$28.21
06/25/2020,CHASE,WALMART.COM AX,PAPER TOWELS,-$52.44
06/25/2020,CHASE,ACT*Active Montgomery,ENTERTAINMENT,-$32.45
06/25/2020,CHASE,AMZN Mktp US*MS4VD7BJ2,GROCERIES,-$139.02
06/25/2020,CHASE,WALMART.COM,DIAPERS & WIPES,-$13.64
06/27/2020,CHASE,AMZN Mktp US*MJ72N8CT1,AMAZON,-$19.10
06/27/2020,CHASE,SPARKLINGSPARKLERS.COM,ENTERTAINMENT,-$21.99
06/27/2020,CHASE,SPARKLINGSPARKLERS.COM,ENTERTAINMENT,-$21.99
06/27/2020,CHASE,AMZN Mktp US*MJ4JO4CO1,AMAZON,-$7.37
06/27/2020,CHASE,SPARKLINGSPARKLERS.COM,ENTERTAINMENT,-$21.99
06/27/2020,CHASE,Amazon.com*MS3M06SY2,ENTERTAINMENT,-$18.01
06/27/2020,CHASE,AMZN Mktp US*MS90O3SR2,AMAZON,-$11.65
06/27/2020,CHASE,Amazon Tips*MS4J80YT1,GROCERIES,-$7.00
06/29/2020,CHASE,Amazon.com*MJ9HF64N1,AMAZON,-$6.29
06/29/2020,CHASE,SPARKLINGSPARKLERS.COM,ENTERTAINMENT,$21.99
06/29/2020,CHASE,SUPERIOR FIREWORKS Online,ENTERTAINMENT,-$27.59
06/29/2020,CHASE,SPARKLINGSPARKLERS.COM,ENTERTAINMENT,$21.99
06/29/2020,CHASE,Amazon.com*MS5DS1IQ0,AMAZON,-$4.34
06/29/2020,CHASE,AMAZON,AMAZON,-$42.27
06/30/2020,CHASE,Amazon.com*MJ1FK1NZ1,AMAZON,-$26.69
06/30/2020,CHASE,Amazon.com*MJ0376NM1,AMAZON,-$18.96
06/30/2020,CHASE,AMZN Mktp US*MJ63A4NQ1,AMAZON,-$47.64
07/01/2020,CHASE,Amazon.com*MJ2GO3TO1,AMAZON,-$13.95
07/01/2020,CHASE,AMZN Mktp US*MJ7MN4CT2,AMAZON,-$19.55
07/01/2020,CHASE,AMZN Mktp US*MJ0KX2O70,AMAZON,-$32.43
07/01/2020,CHASE,Amazon.com*MJ5MO9CP2,AMAZON,-$14.08
07/01/2020,CHASE,Amazon.com*MS38C7YI2,AMAZON,-$14.69
07/01/2020,CHASE,AMZN Mktp US*MJ3D78TW1,AMAZON,-$25.53
07/01/2020,CHASE,Amazon.com*MJ8K99ON0,AMAZON,-$16.36
07/01/2020,CHASE,Amazon.com*MJ9LB0CI2,AMAZON,-$37.64
07/01/2020,CHASE,Amazon.com*MJ5MW7CG2,AMAZON,-$10.06
07/01/2020,CHASE,AMZN Mktp US*MJ4MS8C22,AMAZON,-$16.96
07/02/2020,CHASE,Amazon.com*MJ9CF70L1,AMAZON,-$5.44
07/02/2020,CHASE,AMZN Mktp US*MJ1FD8191,AMAZON,-$23.27
07/02/2020,CHASE,RCH-SCHOOLM*8552206638,NECESSITIES,-$35.98
07/02/2020,CHASE,VISTAPR*VistaPrint.com,ENTERTAINMENT,-$31.15
07/02/2020,CHASE,Amazon.com*MJ2XX8Z80,AMAZON,-$14.03
07/02/2020,CHASE,AMZN Mktp US*MJ9B86Z90,AMAZON,-$17.42
07/02/2020,CHASE,Amazon.com*MJ6AX10A1,AMAZON,-$9.46
07/02/2020,CHASE,AMZN Mktp US*MJ07S3LC0,GROCERIES,-$213.65
07/02/2020,CHASE,TARGET.COM *,TARGET,-$9.06
07/03/2020,CHASE,MCDONALD'S F1359,RESTAURANT,-$12.37
07/03/2020,CHASE,AMZN Mktp US*MJ4VF0P11,AMAZON,-$16.27
07/04/2020,CHASE,Amazon Tips*MJ84E5J30,GROCERIES,-$10.00
07/07/2020,CHASE,GOOGLE*GOOGLE PLAY,ENTERTAINMENT,-$1.35
07/09/2020,CHASE,KiwiCo  Inc.,ENTERTAINMENT,-$31.40
07/09/2020,CHASE,Amazon.com,AMAZON,$2.31
07/10/2020,CHASE,AMZN Mktp US*MJ78P9IH1,AMAZON,-$19.65
07/11/2020,CHASE,MCDONALD'S F1359,RESTAURANT,-$12.37
07/12/2020,CHASE,WALMART.COM AV,DIAPERS & WIPES,-$76.00
07/13/2020,CHASE,Amazon.com*MJ2XR9U00,AMAZON,-$10.09
07/14/2020,CHASE,AMZN Mktp US*MV5I563Q1,GROCERIES,-$201.69
07/16/2020,CHASE,AMZN Mktp US*MV7SY8450,AMAZON,-$23.78
07/16/2020,CHASE,AMZN Mktp US*MV1VP8021,AMAZON,-$23.27
07/16/2020,CHASE,Amazon Tips*MJ7AA5IY2,GROCERIES,-$10.00
07/17/2020,CHASE,MCDONALD'S M4539 OF MD,RESTAURANT,-$10.68
07/17/2020,CHASE,Amazon.com*MV4O61L70,AMAZON,-$19.48
07/19/2020,CHASE,AMZN Mktp US*MV60T44E2,AMAZON,-$7.41
07/19/2020,CHASE,AMZN Mktp US*MV9MQ5MZ1,AMAZON,-$13.77
07/19/2020,CHASE,AMZN Mktp US*MV5U43JQ0,AMAZON,-$42.19
07/19/2020,CHASE,AMZN Mktp US*MV6SX0462,GROCERIES,-$121.71
07/19/2020,CHASE,AMZN Mktp US*MV8LB1JF0,AMAZON,-$26.48
07/20/2020,CHASE,Amazon.com*MV3OF7N52,AMAZON,-$52.99
07/21/2020,CHASE,Amazon Tips*MV0VF5QZ1,GROCERIES,-$7.00
07/21/2020,CHASE,AMZN Mktp US*MV9CL0000,AMAZON,-$81.11
07/21/2020,CHASE,TARGET.COM  *,TARGET,-$6.54
07/22/2020,CHASE,biglots.com,ENTERTAINMENT,-$46.13
07/24/2020,CHASE,THE BIG GREEK CAFE - ROCK,RESTAURANT,-$44.50
07/26/2020,CHASE,Amazon.com*MV9NF5QR0,ENTERTAINMENT,-$15.43
07/27/2020,CHASE,Amazon.com*MV2O05S30,GROCERIES,-$214.36
07/29/2020,CHASE,PAYPAL *TOYWIZ COM,ENTERTAINMENT,-$18.33
07/29/2020,CHASE,Amazon Tips*MF2TJ7N71,GROCERIES,-$10.00
07/30/2020,CHASE,AMZN Mktp US*MV7Z39IU2,PAULA,-$20.13
07/31/2020,CHASE,Burger King 5882,RESTAURANT,-$13.01
07/31/2020,CHASE,Amazon.com*MF5IZ4EV1,AMAZON,-$8.10
07/31/2020,CHASE,AMZN Mktp US*MF4VY9EL1,AMAZON,-$6.14
07/31/2020,CHASE,Amazon.com*MF25T0OE0,AMAZON,-$10.06
07/31/2020,CHASE,Amazon.com*MV0BE6WN2,AMAZON,-$19.22
07/31/2020,CHASE,Amazon.com*MF4ZK2O60,AMAZON,-$12.33
07/31/2020,CHASE,Amazon.com*MF3OW6OK0,AMAZON,-$5.81
07/31/2020,CHASE,Amazon.com*MF0VN7EG1,AMAZON,-$5.67
08/02/2020,CHASE,Amazon.com*MF12O9L80,AMAZON,-$50.00
08/02/2020,CHASE,Amazon.com*MF3UX0GN1,AMAZON,-$13.04
08/04/2020,CHASE,Amazon.com*MF2PY1T50,AMAZON,-$21.61
08/04/2020,CHASE,Amazon.com*MF8I23TE0,AMAZON,-$6.29
08/04/2020,CHASE,Amazon.com*MF5JW3NN2,AMAZON,-$3.14
08/05/2020,CHASE,Amazon.com*MF6CF4QL1,AMAZON,-$14.69
08/05/2020,CHASE,AMZN Mktp US*MF3BJ0QD1,AMAZON,-$9.53
08/05/2020,CHASE,Amazon.com*MF4HC6EX0,AMAZON,-$6.11
08/05/2020,CHASE,Amazon.com*MF6Q06QX1,AMAZON,-$7.67
08/05/2020,CHASE,Amazon.com*MF0H06EI0,AMAZON,-$23.97
08/05/2020,CHASE,Amazon.com*MF7CU5Q81,AMAZON,-$24.10
08/07/2020,CHASE,MCDONALD'S F1359,RESTAURANT,-$12.37
08/08/2020,CHASE,AMZN Mktp US*MF7CA9VE2,AMAZON,-$8.47
08/08/2020,CHASE,Amazon.com*MF6FP2MV2,AMAZON,-$15.70
08/08/2020,CHASE,AMZN Mktp US*MF7JC5MS0,AMAZON,-$7.08
08/08/2020,CHASE,PAYPAL *JBCOOKIECUT JB CO,ENTERTAINMENT,-$14.00
08/08/2020,CHASE,AMZN Mktp US*MF9RG8VD2,AMAZON,-$37.60
08/09/2020,CHASE,Amazon.com*MF1UZ5532,AMAZON,-$74.23
08/10/2020,CHASE,FOOD.BOLT.EU /C/200809175,--,$13.11
08/10/2020,CHASE,Amazon.com*MF4BW7BT0,AMAZON,-$53.38
08/10/2020,CHASE,FOOD.BOLT.EU /C/200809175,--,-$13.11
08/10/2020,CHASE,FOOD.BOLT.EU /C/200809173,--,-$25.23
08/10/2020,CHASE,FOOD.BOLT.EU /C/200809173,--,$25.23
08/11/2020,CHASE,WALMART.COM AT,DIAPERS & WIPES,-$92.55
08/14/2020,CHASE,TARGET.COM *,NECESSITIES,-$9.06
08/15/2020,CHASE,REDEMPTION CREDIT,AMAZON,$38.40
08/15/2020,CHASE,Kindle Svcs*MM13700H1,PAULA,-$1.49
08/17/2020,CHASE,PP*PARTYCITYCO,ENTERTAINMENT,-$39.17
08/17/2020,CHASE,AMZN Mktp US*MM7HP5Z72,AMAZON,-$26.85
08/18/2020,CHASE,Amazon.com*MM8SY3342,GROCERIES,-$169.98
08/18/2020,CHASE,AMZN Mktp US*MM6778MJ1,AMAZON,-$7.41
08/18/2020,CHASE,AMZN Mktp US*MM8TP5NN2,AMAZON,-$23.98
08/19/2020,CHASE,WALMART.COM AS,ENTERTAINMENT,-$95.39
08/20/2020,CHASE,AMZN Mktp US*MM6UM8Q11,AMAZON,-$25.82
08/20/2020,CHASE,Amazon Tips*MM3Z401U2,GROCERIES,-$10.00
08/21/2020,CHASE,PAYPAL *ETSY.COM,ENTERTAINMENT,-$5.96
08/22/2020,CHASE,AMZN Mktp US*MM9TL7AK0,AMAZON,-$13.30
08/23/2020,CHASE,PAYPAL *OLD NAVY,NECESSITIES,-$53.00
08/23/2020,CHASE,Amazon.com*MM5IA2EE0,AMAZON,-$9.57
08/24/2020,CHASE,MCDONALD'S M4539 OF MD,RESTAURANT,-$3.17